station,valid,tmpc
LOXA,1938-01-03 06:00,M
LOXA,1938-01-03 12:00,M
LOXA,1938-01-04 06:00,M
LOXA,1938-01-04 09:00,M
LOXA,1938-01-04 12:00,M
LOXA,1938-01-05 06:00,M
LOXA,1938-01-05 12:00,M
LOXA,1938-01-06 06:00,M
LOXA,1938-01-07 06:00,M
LOXA,1938-01-07 09:00,M
LOXA,1938-01-07 12:00,M
LOXA,1938-01-08 06:00,M
LOXA,1938-01-10 06:00,M
LOXA,1938-01-10 12:00,M
LOXA,1938-01-11 06:00,M
LOXA,1938-01-11 12:00,M
LOXA,1938-01-11 15:00,M
LOXA,1938-01-12 06:00,M
LOXA,1938-01-12 09:00,M
LOXA,1938-01-12 12:00,M
LOXA,1938-01-13 06:00,M
LOXA,1938-01-14 06:00,M
LOXA,1938-01-14 12:00,M
LOXA,1938-01-15 06:00,M
LOXA,1938-01-15 12:00,M
LOXA,1938-01-16 06:00,M
LOXA,1938-01-17 06:00,M
LOXA,1938-01-17 09:00,M
LOXA,1938-01-17 12:00,M
LOXA,1938-01-18 06:00,M
LOXA,1938-01-18 09:00,M
LOXA,1938-01-18 12:00,M
LOXA,1938-01-19 06:00,M
LOXA,1938-01-19 09:00,M
LOXA,1938-01-19 12:00,M
LOXA,1938-01-20 06:00,M
LOXA,1938-01-20 09:00,M
LOXA,1938-01-20 12:00,M
LOXA,1938-01-20 15:00,M
LOXA,1938-01-21 06:00,M
LOXA,1938-01-21 09:00,M
LOXA,1938-01-21 12:00,M
LOXA,1938-01-21 15:00,M
LOXA,1938-01-22 06:00,M
LOXA,1938-01-22 09:00,M
LOXA,1938-01-22 12:00,M
LOXA,1938-01-24 06:00,M
LOXA,1938-01-24 09:00,M
LOXA,1938-01-24 12:00,M
LOXA,1938-01-24 15:00,M
LOXA,1938-01-25 06:00,M
LOXA,1938-01-25 12:00,M
LOXA,1938-01-25 15:00,M
LOXA,1938-01-26 06:00,M
LOXA,1938-01-26 12:00,M
LOXA,1938-01-27 06:00,M
LOXA,1938-01-27 12:00,M
LOXA,1938-01-27 15:00,M
LOXA,1938-01-28 12:00,M
LOXA,1938-01-28 15:00,M
LOXA,1938-01-29 06:00,M
LOXA,1938-01-29 09:00,M
LOXA,1938-01-29 12:00,M
LOXA,1938-01-31 06:00,M
LOXA,1938-01-31 12:00,M
LOXA,1938-01-31 15:00,M
LOXA,1938-02-01 06:00,M
LOXA,1938-02-01 09:00,M
LOXA,1938-02-01 12:00,M
LOXA,1938-02-01 15:00,M
LOXA,1938-02-02 06:00,M
LOXA,1938-02-02 09:00,M
LOXA,1938-02-02 12:00,M
LOXA,1938-02-02 15:00,M
LOXA,1938-02-03 06:00,M
LOXA,1938-02-03 09:00,M
LOXA,1938-02-03 12:00,M
LOXA,1938-02-03 15:00,M
LOXA,1938-02-04 06:00,M
LOXA,1938-02-04 09:00,M
LOXA,1938-02-04 12:00,M
LOXA,1938-02-04 15:00,M
LOXA,1938-02-05 06:00,M
LOXA,1938-02-05 09:00,M
LOXA,1938-02-05 12:00,M
LOXA,1938-02-07 06:00,M
LOXA,1938-02-07 09:00,M
LOXA,1938-02-07 12:00,M
LOXA,1938-02-07 15:00,M
LOXA,1938-02-08 06:00,M
LOXA,1938-02-08 09:00,M
LOXA,1938-02-08 12:00,M
LOXA,1938-02-09 06:00,M
LOXA,1938-02-09 09:00,M
LOXA,1938-02-09 12:00,M
LOXA,1938-02-09 15:00,M
LOXA,1938-02-10 06:00,M
LOXA,1938-02-10 09:00,M
LOXA,1938-02-10 12:00,M
LOXA,1938-02-10 15:00,M
LOXA,1938-02-11 06:00,M
LOXA,1938-02-11 09:00,M
LOXA,1938-02-11 12:00,M
LOXA,1938-02-12 06:00,M
LOXA,1938-02-12 09:00,M
LOXA,1938-02-12 12:00,M
LOXA,1938-02-13 06:00,M
LOXA,1938-02-14 06:00,M
LOXA,1938-02-14 09:00,M
LOXA,1938-02-14 12:00,M
LOXA,1938-02-14 15:00,M
LOXA,1938-02-15 06:00,M
LOXA,1938-02-15 09:00,M
LOXA,1938-02-15 12:00,M
LOXA,1938-02-15 15:00,M
LOXA,1938-02-16 06:00,M
LOXA,1938-02-16 09:00,M
LOXA,1938-02-16 12:00,M
LOXA,1938-02-16 15:00,M
LOXA,1938-02-17 06:00,M
LOXA,1938-02-17 09:00,M
LOXA,1938-02-17 12:00,M
LOXA,1938-02-17 15:00,M
LOXA,1938-02-18 06:00,M
LOXA,1938-02-18 09:00,M
LOXA,1938-02-18 15:00,M
LOXA,1938-02-19 06:00,M
LOXA,1938-02-19 09:00,M
LOXA,1938-02-19 12:00,M
LOXA,1938-02-20 06:00,M
LOXA,1938-02-21 06:00,M
LOXA,1938-02-21 09:00,M
LOXA,1938-02-21 12:00,M
LOXA,1938-02-21 15:00,M
LOXA,1938-02-22 06:00,M
LOXA,1938-02-22 09:00,M
LOXA,1938-02-22 12:00,M
LOXA,1938-02-23 06:00,M
LOXA,1938-02-23 09:00,M
LOXA,1938-02-23 12:00,M
LOXA,1938-02-23 15:00,M
LOXA,1938-02-24 06:00,M
LOXA,1938-02-24 09:00,M
LOXA,1938-02-25 06:00,M
LOXA,1938-02-25 09:00,M
LOXA,1938-02-26 06:00,M
LOXA,1938-02-26 09:00,M
LOXA,1938-02-28 06:00,M
LOXA,1938-02-28 09:00,M
LOXA,1938-02-28 12:00,M
LOXA,1938-02-28 15:00,M
LOXA,1938-03-01 06:00,M
LOXA,1938-03-01 09:00,M
LOXA,1938-03-01 15:00,M
LOXA,1938-03-02 06:00,M
LOXA,1938-03-02 09:00,M
LOXA,1938-03-02 12:00,M
LOXA,1938-03-02 15:00,M
LOXA,1938-03-03 06:00,M
LOXA,1938-03-03 09:00,M
LOXA,1938-03-03 12:00,M
LOXA,1938-03-03 15:00,M
LOXA,1938-03-04 06:00,M
LOXA,1938-03-04 09:00,M
LOXA,1938-03-04 12:00,M
LOXA,1938-03-04 15:00,M
LOXA,1938-03-05 06:00,M
LOXA,1938-03-05 09:00,M
LOXA,1938-03-07 06:00,M
LOXA,1938-03-07 09:00,M
LOXA,1938-03-07 12:00,M
LOXA,1938-03-07 15:00,M
LOXA,1938-03-08 06:00,M
LOXA,1938-03-08 09:00,M
LOXA,1938-03-08 15:00,M
LOXA,1938-03-09 06:00,M
LOXA,1938-03-09 09:00,M
LOXA,1938-03-09 12:00,M
LOXA,1938-03-09 15:00,M
LOXA,1938-03-10 06:00,M
LOXA,1938-03-10 09:00,M
LOXA,1938-03-10 12:00,M
LOXA,1938-03-10 15:00,M
LOXA,1938-03-11 06:00,M
LOXA,1938-03-11 09:00,M
LOXA,1938-03-11 12:00,M
LOXA,1938-03-11 15:00,M
LOXA,1938-03-12 06:00,M
LOXA,1938-03-12 09:00,M
LOXA,1938-03-12 15:00,M
LOXA,1938-03-14 06:00,M
LOXA,1938-03-14 09:00,M
LOXA,1938-03-15 06:00,M
LOXA,1938-03-15 15:00,M
LOXA,1938-03-16 06:00,M
LOXA,1938-03-16 12:00,M
LOXA,1938-03-16 15:00,M
LOXA,1938-03-17 06:00,M
LOXA,1938-03-17 09:00,M
LOXA,1938-03-17 12:00,M
LOXA,1938-03-17 15:00,M
LOXA,1938-03-18 06:00,M
LOXA,1938-03-18 09:00,M
LOXA,1938-03-18 12:00,M
LOXA,1938-03-18 15:00,M
LOXA,1938-03-19 06:00,M
LOXA,1938-03-19 09:00,M
LOXA,1938-03-19 12:00,M
LOXA,1938-03-21 06:00,M
LOXA,1938-03-21 09:00,M
LOXA,1938-03-21 15:00,M
LOXA,1938-03-22 06:00,M
LOXA,1938-03-22 09:00,M
LOXA,1938-03-22 15:00,M
LOXA,1938-03-23 06:00,M
LOXA,1938-03-23 09:00,M
LOXA,1938-03-23 12:00,M
LOXA,1938-03-23 15:00,M
